date,title,source,link
2024-01-02 08:00:00,《半導體》精測11日受邀法說 - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMijAFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4RCU4QSVFNSVCMCU4RSVFOSVBQiU5NC0lRTclQjIlQkUlRTYlQjglQUMxMSVFNiU5NyVBNSVFNSU4RiU5NyVFOSU4MiU4MCVFNiVCMyU5NSVFOCVBQSVBQS0wNzQyMjk2NTQuaHRtbNIBAA?oc=5
2024-01-02 08:00:00,【公告】精測受邀參加兆豐證券舉辦之「2024Q1 春季論壇」 - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMi4wFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTclQjIlQkUlRTYlQjglQUMlRTUlOEYlOTclRTklODIlODAlRTUlOEYlODMlRTUlOEElQTAlRTUlODUlODYlRTglQjElOTAlRTglQUQlODklRTUlODglQjglRTglODglODklRTglQkUlQTYlRTQlQjklOEItMjAyNHExLSVFNiU5OCVBNSVFNSVBRCVBMyVFOCVBQiU5NiVFNSVBMyU4Ny0wNzM4MzgxNzEuaHRtbNIBAA?oc=5
2024-01-03 06:34:00,營收：精測(6510)12月營收2億8101萬元，月增率7.11%，年增率-18.05% - 富聯網,富聯網,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3cyLm1vbmV5LWxpbmsuY29tLnR3L1JlYWx0aW1lTmV3cy9OZXdzQ29udGVudC5hc3B4P1NOPTIwMDg2NTAwMDImUFU9MDAxMNIBAA?oc=5
2024-01-03 06:40:00,《業績-半導體》精測12月營收為2.81億元，年減18.05% - 富聯網,富聯網,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3cyLm1vbmV5LWxpbmsuY29tLnR3L1JlYWx0aW1lTmV3cy9OZXdzQ29udGVudC5hc3B4P1NOPTUzNjY1MDgwMDEmUFU9MDAxMNIBAA?oc=5
2024-01-03 06:41:26,【公告】精測2023年12月合併營收2.81億元年增-18.05% - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMiugFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTclQjIlQkUlRTYlQjglQUMtMjAyMyVFNSVCOSVCNDEyJUU2JTlDJTg4JUU1JTkwJTg4JUU0JUJEJUI1JUU3JTg3JTlGJUU2JTk0JUI2Mi04MSVFNSU4NCU4NCVFNSU4NSU4My0lRTUlQjklQjQlRTUlQTIlOUUtMDY0MTI2NTAzLmh0bWzSAQA?oc=5
2024-01-03 06:50:12,【公告】精測2023年12月合併營收2.81億元年增-18.05% - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMiugFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTclQjIlQkUlRTYlQjglQUMtMjAyMyVFNSVCOSVCNDEyJUU2JTlDJTg4JUU1JTkwJTg4JUU0JUJEJUI1JUU3JTg3JTlGJUU2JTk0JUI2Mi04MSVFNSU4NCU4NCVFNSU4NSU4My0lRTUlQjklQjQlRTUlQTIlOUUtMDY0MTI2NTAzLmh0bWzSAQA?oc=5
2024-01-03 06:59:13,精測12月營收2.81 億元| TechNews 科技新報 - TechNews 科技新報,TechNews 科技新報,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDI0LzAxLzAzL2NocHQtNjUxMC0yMDIzMTItZmluYW5jaWFsLXJlcG9ydC_SAQA?oc=5
2024-01-03 07:27:00,個股：精測(6510)1/11受邀參加兆豐證券舉辦之「2024Q1 春季論壇」 - 富聯網,富聯網,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3cyLm1vbmV5LWxpbmsuY29tLnR3L3JlYWx0aW1lbmV3cy9OZXdzQ29udGVudC5hc3B4P1NOPTIwMDg3MDAwMDImUFU9MTAwMtIBAA?oc=5
2024-01-03 07:42:00,《半導體》精測11日受邀法說 - 富聯網,富聯網,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3cyLm1vbmV5LWxpbmsuY29tLnR3L1JlYWx0aW1lTmV3cy9OZXdzQ29udGVudC5hc3B4P1NOPTUzNjY1NTgwMDEmUFU9MDAxMNIBAA?oc=5
2024-01-03 07:42:29,《半導體》精測11日受邀法說 - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMijAFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4RCU4QSVFNSVCMCU4RSVFOSVBQiU5NC0lRTclQjIlQkUlRTYlQjglQUMxMSVFNiU5NyVBNSVFNSU4RiU5NyVFOSU4MiU4MCVFNiVCMyU5NSVFOCVBQSVBQS0wNzQyMjk2NTQuaHRtbNIBAA?oc=5
2024-01-03 07:43:11,精測去年12月營收2.81億元 月增7.1% - 聯合新聞網,聯合新聞網,https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDAvNzY4MzUwOdIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjU0Lzc2ODM1MDk?oc=5
2024-01-03 07:43:30,精測去年12月營收2.81億元 月增7.1% - 經濟日報,經濟日報,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzc2ODM1MDk_ZnJvbT1lZG5fbmV3ZXN0bGlzdF9jYXRlX3NpZGXSATJodHRwczovL21vbmV5LnVkbi5jb20vbW9uZXkvYW1wL3N0b3J5LzU2MTIvNzY4MzUwOQ?oc=5
2024-01-03 07:44:53,中華精測第四季營收季增11.6％ - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMilwFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNCVCOCVBRCVFOCU4RiVBRiVFNyVCMiVCRSVFNiVCOCVBQyVFNyVBQyVBQyVFNSU5QiU5QiVFNSVBRCVBMyVFNyU4NyU5RiVFNiU5NCVCNi0lRTUlQUQlQTMlRTUlQTIlOUUxMS02LTA3NDQ1MzcwNy5odG1s0gEA?oc=5
2024-01-03 07:46:10,精測看今年 AI 相關晶片將帶動混針系列探針卡業績成長 - 經濟日報,經濟日報,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzc2ODM1MTbSATJodHRwczovL21vbmV5LnVkbi5jb20vbW9uZXkvYW1wL3N0b3J5LzU2MTIvNzY4MzUxNg?oc=5
2024-01-03 07:46:30,精測看今年 AI 相關晶片將帶動混針系列探針卡業績成長 - 聯合新聞網,聯合新聞網,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDAvNzY4MzUxNj9mcm9tPXVkbi1jaDFfYnJlYWtuZXdzLTEtY2F0ZTYtbmV3c9IBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjQwLzc2ODM1MTY?oc=5
2024-01-03 07:46:30,精測看今年AI相關晶片 將帶動混針系列探針卡業績成長 - 聯合新聞網,聯合新聞網,https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNTQvNzY4MzUxNtIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjU0Lzc2ODM1MTY?oc=5
2024-01-03 07:46:30,精測看今年AI相關晶片將帶動混針系列探針卡業績成長| 聯合新聞網 - 聯合新聞網,聯合新聞網,https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNTQvNzY4MzUxNtIBAA?oc=5
2024-01-03 07:57:03,《半導體》精測11日受邀法說 - Yahoo奇摩股市,Yahoo奇摩股市,https://news.google.com/rss/articles/CBMijAFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4RCU4QSVFNSVCMCU4RSVFOSVBQiU5NC0lRTclQjIlQkUlRTYlQjglQUMxMSVFNiU5NyVBNSVFNSU4RiU5NyVFOSU4MiU4MCVFNiVCMyU5NSVFOCVBQSVBQS0wNzQyMjk2NTQuaHRtbNIBAA?oc=5
