date,title,source,link
2026-07-23 03:26:53,【11:25 即時新聞】艾訊(3088)股價走強漲逾4%，邊緣AI視覺合作與業績連四月高檔＋主力與外資連買推升短線多頭結構 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyairesearcher-59869c87-8646-11f1-baea-97773506ebe7
2026-07-23 05:03:45,研華（2395）、艾訊（3088）、融程電（3416）｜邊緣AI＋軍工點火，IPC折價待修復｜豐雲學堂2026 年 07 月 - sinotrade.com.tw,sinotrade.com.tw,https://www.sinotrade.com.tw/richclub/IndustryPerspective/%E7%A0%94%E8%8F%AF-2395--%E8%89%BE%E8%A8%8A-3088--%E8%9E%8D%E7%A8%8B%E9%9B%BB-3416--%E9%82%8A%E7%B7%A3AI-%E8%BB%8D%E5%B7%A5%E9%BB%9E%E7%81%AB-IPC%E6%8A%98%E5%83%B9%E5%BE%85%E4%BF%AE%E5%BE%A9-6a6011a1dba502e5ae739703
2026-07-23 07:59:00,個股：迎歐盟CRA新時代，艾訊(3088)強化資安佈局，率先取得認證 - 富聯網,富聯網,https://ww2.money-link.com.tw/RealtimeNews/NewsContent.aspx?SN=2395612002&PU=0010
2026-07-23 09:18:29,艾訊強化資安布局 迎接歐盟《網路韌性法案》新時代 - UDN,UDN,https://udn.com/news/story/7240/9646830
2026-07-24 08:46:28,"討論牆 | 盤中速報 - 艾訊(3088)股價拉至漲停，漲停價152.0元，成交1,483張 - LINE TODAY",LINE TODAY,https://today.line.me/tw/v3/posts/list/article/rmRjBYw
2026-07-28 11:26:09,討論牆 | 盤中速報 - 艾訊(3088)大跌7.31%，報139.5元 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/posts/list/article/XYRXWr9
2026-07-30 06:40:34,討論牆 | 盤中速報 - 艾訊(3088)股價殺至跌停，跌停價120.5元，成交435張 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/posts/list/article/vX8lmEo
2026-07-30 10:20:03,【26Q2財報公告】艾訊(3088) Q2 營收24.9283億元，創歷史新高，季增 17.56％、年成長 54.01％ - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1242900
2026-07-30 10:20:03,【26Q2財報公告】艾訊(3088) Q2 營收24.9283億元，創歷史新高，季增 17.56％、年成長 54.01％ - cmoney.tw,cmoney.tw,https://www.cmoney.tw/notes/note-detail.aspx?nid=1242900
2026-07-31 04:24:00,個股：艾訊(3088)自動化業務衝鋒，H1每股盈餘4.28元創高，H2拚勝H1 - ww2.money-link.com.tw,ww2.money-link.com.tw,https://ww2.money-link.com.tw/realtimenews/NewsContent.aspx?SN=2398602002&PU=1002
2026-07-31 04:24:00,個股：艾訊(3088)自動化業務衝鋒，H1每股盈餘4.28元創高，H2拚勝H1 - 富聯網,富聯網,https://ww2.money-link.com.tw/RealtimeNews/NewsContent.aspx?SN=2398602002&PU=0010
2026-08-04 01:42:38,3088 艾訊 - 你真的不該只有這樣而已@@ 上去吧～～～ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181311563
2026-08-05 05:24:11,【13:23 即時新聞】艾訊(3088)股價上漲8.1%至133.5元，邊緣AI視覺合作與營收成長題材帶動買盤回補＋短線技術面仍偏空、法人與主力籌碼拉扯 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyairesearcher-e3c38b72-908d-11f1-9466-68d83d65cc80
2026-08-05 05:24:11,【13:23 即時新聞】艾訊(3088)股價上漲8.1%至133.5元，邊緣AI視覺合作與營收成長題材帶動買盤回補＋短線技術面仍偏空、法人與主力籌碼拉扯 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/cmoneyairesearcher-e3c38b72-908d-11f1-9466-68d83d65cc80
2026-08-07 07:10:03,【2026/07月營收公告】艾訊(3088) 七月營收9.44億元，表現亮眼、呈現雙成長，創歷史新高，年增66.92% - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1246265
2026-08-07 09:10:42,【2026/07月營收公告】艾訊(3088) 七月營收9.44億元，表現亮眼、呈現雙成長，創歷史新高，年增66.92% - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyaicurator-dd694da0-923f-11f1-8b75-3b47ebc8d2af
