date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2025-11-07,984.0,1025.0,984.0,1010.0,2753495,2765072218,5329,,,377468,24000,-3887,1401.0,369.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-10,1025.0,1030.0,983.0,1015.0,2324996,2340018893,4708,,,33393,98000,-14089,1377.0,346.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-11,1030.0,1110.0,1025.0,1070.0,3931087,4213723940,6738,,,-1064924,504000,19490,1330.0,325.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-12,1080.0,1110.0,999.0,1010.0,3032111,3149005015,7605,,,-240752,141000,-75008,1372.0,316.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-13,1000.0,1050.0,1000.0,1010.0,1311621,1336302910,2829,,,135330,-12000,3674,1347.0,307.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-14,995.0,1015.0,989.0,993.0,1347537,1344899050,3731,,,96500,51000,-18676,1298.0,298.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-17,1005.0,1015.0,967.0,970.0,1820623,1791771722,4812,,,93678,13000,-26613,1265.0,293.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-18,965.0,982.0,926.0,933.0,1735107,1647732819,4543,,,246959,9000,-9965,1182.0,281.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-19,927.0,942.0,906.0,908.0,1208319,1111199899,3438,,,60904,18000,-15420,1150.0,281.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-20,969.0,970.0,936.0,956.0,1534505,1463377234,4898,,,-174228,25001,24601,1175.0,283.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-21,925.0,931.0,889.0,894.0,1672115,1508798494,4023,,,212085,-213000,-10834,1096.0,272.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-24,913.0,914.0,860.0,880.0,2269126,2001127859,4327,,,198791,-134000,-6982,1138.0,257.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-25,898.0,899.0,861.0,891.0,1629363,1437309710,3492,,,3325,-217000,7506,1179.0,242.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-26,896.0,923.0,883.0,920.0,1714912,1560399264,3681,,,-379799,44000,18938,1293.0,240.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-27,930.0,999.0,928.0,965.0,3827647,3698926028,7400,,,-738146,-112000,50460,1665.0,251.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-11-28,963.0,981.0,951.0,963.0,1503968,1450854147,3545,,,-9798,-24000,-5144,1650.0,262.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-01,963.0,963.0,907.0,911.0,2399268,2221597563,6777,,,-297944,11900,-30713,1536.0,247.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-02,910.0,937.0,897.0,899.0,1920848,1744248196,4262,,,260883,-585000,-3147,1634.0,240.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-03,910.0,913.0,883.0,895.0,2182370,1950259470,4464,,,771967,-900010,4293,1695.0,225.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-04,898.0,912.0,882.0,892.0,1135560,1015452928,3052,,,136200,-233000,1715,1696.0,219.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-05,893.0,903.0,890.0,891.0,858651,768672838,1744,,,206968,-235600,1393,1721.0,219.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-08,899.0,941.0,892.0,936.0,2217153,2049465563,4204,,,32114,112000,35986,1815.0,224.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-09,933.0,945.0,895.0,911.0,3047155,2786403344,6275,,,-56212,-81290,-40692,1812.0,219.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-10,920.0,921.0,895.0,899.0,1680777,1514690608,3975,,,-113840,-73000,-4085,1889.0,212.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-11,910.0,934.0,904.0,904.0,2252444,2075402120,3989,,,265030,132000,4560,1789.0,219.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-12,920.0,931.0,906.0,915.0,1709326,1571667505,4246,,,-43036,91000,18328,1817.0,223.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-15,899.0,899.0,866.0,875.0,2604463,2288354769,9490,,,-515300,-265400,-7333,1915.0,207.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-16,869.0,884.0,860.0,862.0,982321,854268013,2831,,,-140137,127000,-9462,1912.0,220.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-17,870.0,908.0,864.0,894.0,2341105,2093633955,4142,,,-136715,309000,44404,1922.0,241.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-18,892.0,900.0,872.0,886.0,1454958,1287974568,3140,,,-63439,-45000,-30918,1954.0,239.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-19,900.0,945.0,900.0,943.0,3608084,3366867378,7343,,,72249,581800,78922,1954.0,261.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-22,951.0,970.0,935.0,942.0,2227180,2118434111,6820,,,-613840,318000,73542,2026.0,256.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-23,949.0,976.0,947.0,955.0,2108694,2028230254,3846,,,-255355,348000,108263,1965.0,258.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-24,972.0,992.0,963.0,964.0,2704900,2643994154,9127,,,-270651,401000,56771,1968.0,283.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-26,980.0,986.0,971.0,973.0,1282105,1253110902,2394,,,-228842,214000,-1191,1965.0,280.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-29,978.0,987.0,960.0,986.0,1254986,1224890891,3460,,,149594,104000,22985,1873.0,281.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-30,981.0,1010.0,972.0,1000.0,1261432,1250024425,3276,,,81001,220000,-7195,1851.0,279.0,,finmind,2026-07-15T18:42:41.642959+08:00
2025-12-31,1005.0,1015.0,988.0,1005.0,1549036,1550667179,4146,,,-83924,275000,-42355,1789.0,278.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-02,1000.0,1010.0,939.0,954.0,3664197,3529696523,18284,,,-833784,72000,36220,2063.0,240.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-05,979.0,984.0,941.0,957.0,1764425,1694052891,3743,,,-126580,-23000,2682,2285.0,251.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-06,961.0,1005.0,958.0,990.0,3134861,3091799324,5895,,,307834,-116998,86412,2549.0,254.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-07,999.0,1030.0,972.0,975.0,2794012,2778237449,9591,,,-203193,198000,15998,2384.0,246.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-08,969.0,969.0,919.0,921.0,4176320,3904212087,9254,,,-545971,-118000,10537,2030.0,226.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-09,927.0,940.0,905.0,910.0,2187432,2003101356,5511,,,-681970,179000,15365,2074.0,220.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-12,923.0,933.0,902.0,911.0,1364206,1246159480,2893,,,-63597,-4000,5424,2082.0,223.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-13,927.0,965.0,920.0,952.0,3177777,3016911626,5600,,,438971,425101,33598,1944.0,232.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-14,971.0,998.0,965.0,979.0,3099818,3044375591,6600,,,-136235,91000,6033,1992.0,237.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-15,977.0,977.0,933.0,933.0,1884621,1779439604,5968,,,-768928,-15000,-36232,2084.0,221.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-16,942.0,949.0,924.0,928.0,1461574,1366778547,3496,,,-333176,-36000,-9814,2106.0,214.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-19,930.0,930.0,903.0,903.0,1638470,1492849773,6098,,,-493410,-11000,-19713,2131.0,213.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-20,903.0,911.0,892.0,900.0,1386306,1248474789,4751,,,-260865,-128000,4896,2132.0,213.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-21,896.0,940.0,895.0,909.0,1831114,1687438094,3662,,,294094,-16000,5369,2079.0,217.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-22,933.0,945.0,908.0,940.0,2119028,1977994497,3939,,,405755,7600,18262,2070.0,224.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-23,943.0,970.0,933.0,969.0,2720668,2610855093,5267,,,897771,80000,-3210,1818.0,229.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-26,980.0,994.0,949.0,971.0,2458018,2385928641,9047,,,8103,-157000,22424,1774.0,223.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-27,976.0,995.0,963.0,965.0,2150093,2102941844,4407,,,326873,-192000,7043,1780.0,215.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-28,972.0,986.0,943.0,948.0,2860837,2727463212,6246,,,-559877,-177001,-13440,1968.0,207.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-29,951.0,963.0,929.0,930.0,1900912,1783149816,4721,,,69596,-456000,-24583,1969.0,190.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-01-30,930.0,931.0,892.0,905.0,2238263,2028764306,6599,,,-273720,-490000,-37562,2050.0,159.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-02,891.0,921.0,884.0,900.0,1408571,1273843294,2742,,,114030,-156000,2047,2025.0,161.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-03,913.0,957.0,912.0,955.0,2170143,2038986381,4596,,,818210,59000,34770,1824.0,169.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-04,964.0,994.0,962.0,988.0,4146193,4071424271,7701,,,870793,-243000,68586,2069.0,177.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-05,993.0,1085.0,993.0,1085.0,7760654,8263068740,15105,,,1960366,-130000,-42558,2007.0,213.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-06,1035.0,1050.0,977.0,977.0,3284911,3244718285,6468,,,-393433,94000,-107441,2001.0,157.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-09,1000.0,1000.0,930.0,931.0,4900153,4679523147,25985,,,-1419274,-162000,-21343,2207.0,141.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-10,942.0,990.0,926.0,983.0,2967511,2856506901,6386,,,447073,20800,81787,2128.0,144.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-11,980.0,1000.0,966.0,975.0,2435615,2404941473,5482,,,-255036,468000,-51201,1999.0,143.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-23,978.0,981.0,890.0,890.0,7583577,6868288877,23752,,,-3279939,-983000,-3083,2503.0,130.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-24,905.0,906.0,861.0,870.0,7122676,6225335080,22535,,,-1147953,-2100000,-35801,3095.0,123.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-25,880.0,914.0,880.0,909.0,3885125,3484989229,8579,,,737247,-378000,58629,3114.0,107.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-02-26,916.0,925.0,891.0,918.0,3903048,3562580505,7234,,,-170234,-123000,-190,3026.0,104.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-02,894.0,940.0,888.0,934.0,2536153,2341501969,6447,,,627430,12000,47599,2871.0,100.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-03,939.0,970.0,912.0,912.0,3204882,3004518873,8755,,,86053,-138000,-49790,2812.0,98.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-04,900.0,913.0,866.0,880.0,2459089,2187643942,7166,,,-507315,42000,-37231,2832.0,90.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-05,915.0,950.0,914.0,930.0,2520664,2345084912,5291,,,516995,157000,37635,2696.0,105.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-06,935.0,950.0,919.0,939.0,1861063,1746613646,4379,,,308825,14000,37053,2683.0,113.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-09,874.0,887.0,861.0,871.0,2651827,2308982407,7256,,,-482337,42400,-96553,2666.0,103.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-10,902.0,908.0,877.0,887.0,1951279,1742405812,3740,,,-141771,1000,-32536,2625.0,92.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-11,902.0,909.0,868.0,894.0,5394819,4767964808,11713,,,-1584760,-181300,-12522,2899.0,123.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-12,891.0,912.0,878.0,881.0,3095592,2762145369,7849,,,-508470,90000,-34988,2990.0,130.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-13,873.0,901.0,865.0,894.0,1934869,1713773869,4237,,,81361,-10000,-794,2980.0,128.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-16,901.0,903.0,881.0,888.0,1540841,1372777883,3816,,,-177445,-148700,-8384,3054.0,121.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-17,905.0,907.0,881.0,881.0,2326338,2078104237,5760,,,-593980,-2000,4025,3113.0,89.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-18,891.0,896.0,872.0,890.0,3669979,3241824913,7648,,,292005,-949338,18615,3183.0,57.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-19,883.0,910.0,883.0,892.0,2949251,2647985224,6152,,,345919,-456000,18924,3189.0,56.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-20,900.0,912.0,885.0,912.0,2786017,2510976275,5096,,,424853,-265499,145,3197.0,38.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-23,890.0,904.0,884.0,893.0,1738425,1551601233,4144,,,-299256,-8000,-16262,3199.0,0.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-24,908.0,915.0,865.0,868.0,3123686,2766622192,8338,,,-964829,3278,-38913,3328.0,0.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-25,886.0,917.0,883.0,904.0,3123276,2818299788,6391,,,1251215,-34446,82664,3191.0,0.0,,finmind,2026-07-15T18:42:41.642959+08:00
2026-03-26,916.0,923.0,893.0,903.0,2837335,2575391583,7660,,,-203558,-245372,-18481,3281.0,0.0,,finmind,2026-07-15T18:42:41.642959+08:00
